m_c_report_log_d.app_id,m_c_report_log_d.user_id,m_c_report_log_d.resource_id,m_c_report_log_d.product_id,m_c_report_log_d.cpg,m_c_report_log_d.fpg,m_c_report_log_d.user_agent,m_c_report_log_d.client,m_c_report_log_d.province,m_c_report_log_d.is_pay,m_c_report_log_d.visited_at,m_c_report_log_d.statdate
appFYZWlxTV3046,u_5beef1338a4ee_OClm2AZbad,p_5adef3c955f30_cYHOUkWs,p_5adef3c955f30_cYHOUkWs,NULL,NULL,"Mozilla/5.0 (Linux; Android 8.1; CLT-AL00 Build/HUAWEICLT-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044403 Mobile Safari/537.36 MMWEBID/7483 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,安徽省,0,2018-11-17 00:32:52.0,20181117
appYFsyUsfe7593,u_599fe1d18b45d_1iayWsGj,NULL,NULL,NULL,NULL,"Mozilla/5.0 (Linux; Android 7.0; MI 5s Plus Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044306 Mobile Safari/537.36 MMWEBID/8360 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,上海,1,2018-11-17 00:32:52.0,20181117
appVIkUMxXz2911,u_5bde8ab79347b_rycfxVtIv0,a_5bcaeb46ce45f_6Y562ZIc,p_5b73fbf0ec5a8_ZEFsj0xO,NULL,NULL,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 MicroMessenger/6.7.3(0x16070321) NetType/WIFI Language/zh_CN",1,广东省,1,2018-11-17 00:32:52.0,20181117
appRY9yTVR18157,u_584ff0c60aaa2_D0H6QCt0,a_5bee292441dfb_ZezBp9gx,p_5a20c170633d3_YVpdjHrT,NULL,NULL,"Mozilla/5.0 (Linux; Android 8.0; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044306 Mobile Safari/537.36 MMWEBID/2993 MicroMessenger/6.7.3.1360(0x26070339) NetType/4G Language/zh_CN Process/tools",1,浙江省,1,2018-11-17 00:32:52.0,20181117
appSyEWXrIv1743,u_5beeefdea77b6_1A69cU05Wl,l_5bdff02e91ed0_Zu82d7z1,l_5bdff02e91ed0_Zu82d7z1,NULL,NULL,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16B92 MicroMessenger/6.7.3(0x16070321) NetType/WIFI Language/zh_CN",1,湖南省,1,2018-11-17 00:32:52.0,20181117
app7GUercfk4447,u_59b3994741f5c_iwVz4e1M,a_5be57e036b559_FRfxaUrD,p_58fae9581f1b2_twj2pOMH,NULL,NULL,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 MicroMessenger/6.7.2 NetType/WIFI Language/zh_CN",1,广东省,1,2018-11-17 00:32:52.0,20181117
app5gXQ1dBV8206,u_5bed7a6cca154_BuCN8xSaMu,p_5bb31683e7e05_b1R9J9Oz,p_5bb31683e7e05_b1R9J9Oz,NULL,NULL,"Mozilla/5.0 (Linux; Android 7.1.2; Redmi 5 Plus Build/N2G47H; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044403 Mobile Safari/537.36 MMWEBID/5491 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,新疆,0,2018-11-17 00:32:52.0,20181117
appo2bR0L9k9490,u_5b928f5e751bd_orkrOV3kyg,NULL,NULL,NULL,NULL,"Mozilla/5.0 (Linux; Android 7.1.1; 1801-A01 Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044306 Mobile Safari/537.36 MMWEBID/3466 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,陕西省,1,2018-11-17 00:32:52.0,20181117
appqPXlaEuY8052,u_5beeb498a53b1_f3PtWMTrIn,v_5a7700fc15ab7_4iCrEugN,p_5a28ec9be47d1_png1gxaI,NULL,NULL,"Mozilla/5.0 (Linux; Android 8.1; ONEPLUS A5000 Build/OPM1.171019.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044307 Mobile Safari/537.36 MMWEBID/6550 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,河北省,0,2018-11-17 00:32:52.0,20181117
app6Wf7NMsr4708,u_5bd0a51c50e2f_HPr0G1bIPf,v_5b474abe3173c_h9NanLDg,p_5b117151e0e7a_KE3aWHLK,NULL,NULL,"Mozilla/5.0 (Linux; Android 6.0.1; M2 E Build/MMB29U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/044307 Mobile Safari/537.36 MMWEBID/3204 MicroMessenger/6.7.3.1360(0x26070339) NetType/WIFI Language/zh_CN Process/tools",1,江苏省,1,2018-11-17 00:32:52.0,20181117
